Title,Year,Languages,Rating
C(MXR7w$!M,1903,[Looooooooooooooooong;Swahili;Arabic;Chinese - S;Chinese - T],7.9
&1Z#WfxA$$@GsubX2GeaR&@quz!Tviz,1989,[French;Welsh;Japanese;Chinese - T],1
B&ScjIJ#^WYUO#E#eD2yeg)pItt0g,1908,[Korean],10
c^9m@mDiPPToP@PBQ&812pmsZWqncu,1900,[German;Dutch;Hindi;Korean],10
^PQPddr,1905,[Spanish;English;Welsh],2.9
U(!hIsvg#TkK6ESRSOrtN$vHW)e2e(tO#HE5(u!34iMy(BHX2,1929,[Chinese - T],7.8
BzGpXmOzoSvT6*6O7)$kNV0HjNx%QEfh%y,1916,[Welsh;Chinese - T],9.4
5pB#tS*AQgZ!8^i@@OE*Ryl68Lw,1953,[Russian;German],10
sRbkqQYP8A*k^YB7wzBm^KS,1987,[Welsh;Korean;Swahili],5.3
N#gP1R$NH7V)6P531)N#bu@5s6,1962,[French;Arabic],5.2
bVQdC0$5NtlOIFhd18,1981,[Chinese - S],3.7
5,1920,[Arabic;Czech;Looooooooooooooooong],6.1
yzuoP763f*nlWVsEeTuHXKtsIh%gs5xZh^rM9@qX*H8L@VyyY,2012,[Welsh;Czech],1.6
(hPB$vF1gU005umbdY3bIil%eJ9LA)rjOIaokn#5S,1905,[Swahili;Spanish],10
KBPdx8(swv4K9$6jXd^fdxmQhGS,1949,[Spanish;Polish;Looooooooooooooooong;Arabic],9.9
j6pVY*YNFbfJb%*PJK!AA*HrEkEW0o5yKcEhQaIo480,1981,[Swahili;Hindi;Polish],5.9
1Fn1Rs9z(ZV0@(J*$lSNIwr@H,1977,[Hindi;Turkish],4.4
rG)VSO(q5EJAiZ*r7NYcOZgfquKXrAN1sSPuJwya8XEN$&,1901,[Hindi;Swahili;Korean],10
4Cwr*^36se4)ui0HDy^sbVqjQvdabqEGgRud1Hp2iU0hvO6k,1930,[Spanish;Looooooooooooooooong;Japanese;Dutch;Czech],5.7
9lYV$%ArVhOQlldmkKd*bYHjx2I$b,1966,[Turkish],7.3
N,1924,[Welsh;English;Chinese - T;Russian;Looooooooooooooooong],10
Dw#SkWJ49TyNRhF)BEXFx,1960,[Spanish],10
6v*BHV8&,1965,[Polish],7.2
1l00Q!RSaYI$#eXF)2MF6QjY$WML8UoJSgU0^qm$0#FVlRGUgj,1974,[Swahili],4.1
J!Dk3p$)RE1k,1956,[Korean;Looooooooooooooooong;Dutch;Hindi;Welsh],2.9
TGLzlxcmtOD3lG8m(3Z2(j#w%u6UAuuIoNAp2,2019,[Spanish;Chinese - T;Czech;Russian;Arabic],2.7
cW(t$V#J68dQuxkI3Ctt,1915,[Looooooooooooooooong;Chinese - T;Korean;Japanese],3
Y*Y)Cr8l112M6Bq2GyuQyjUTxLZM8fdGDlj55@,1922,[Dutch;Spanish],5.1
!5jfXDx999%Hm)3JGWO4r&4pxu11c*TCN0cjNyRVq)1,2008,[Czech;English;Spanish;Dutch],2.8
C4gbaSM3g@Ii,1915,[Russian;Korean],9.7
ADvlWKYs2toUx!@PV)y1uKfI03(BtG$11bYXBZ,1986,[Russian],3.3
IXDgXXt8&H,1911,[Hindi;Japanese],9.4
Xg7wK*XJGawYLN^O49,1940,[Swahili],6.6
s8n%1EiHZo8LnizZy#YfZwTllIK1DvHK6(,2003,[Russian;Czech;Chinese - S;Welsh;Chinese - T],8.5
^O7GIaj996@TS,1910,[Welsh;Chinese - S;French;Hindi],3
w^Yb4pIjrV%H@(OsNOeTLPL8bpj,1915,[Looooooooooooooooong;French;German;Swahili;Spanish],6.6
mPl!,1917,[French],9.4
tG6VvC*UoOSWAi9dNhB97leK4zvzN)KdqIC*HvZ!b*I,1982,[Polish;Dutch;Chinese - T;Russian],10
zc5tyM6&5g!BTz7SB)0KB08,1958,[Polish;Hindi],2.2
DOs@O9R98enu%DS,1932,[Korean;Welsh],7.1
fYVPaFvHrm%6VsFvuWooHU3yGeCdb^U8v)W4gm$U%ndQ(Y1),1929,[French],7.2
izjQV6ObyaFKnnbvsK,1918,[Polish;Swahili;Russian],5.2
xt9nQ#LNwDa1PBQKjW87W$1qhBc#z(tQ5eCSjC#&RGDX,1993,[French],6.9
Y3K$!EM)2rblgJRH%#K@(7jkj1lSr@G,2001,[Hindi;German],5.4
l2%zYwjVY@muc,1959,[Swahili;Chinese - T;Czech],2.4
(6hyl%DxGoU25D,1998,[Japanese;Turkish],10
uA$s4TBUV(Y0qib,1983,[Chinese - T;French],4.1
rXL$!T8sGM)Nfb5jbFrGgVxSy#Pf,1975,[Japanese;Looooooooooooooooong],3.1
LHycGU&XXPV3wMjS5Toz&i^IXtDEb,1933,[Dutch;Korean;French],1.4
aOy%XS6M#IF%2(y6lrl&HKnjXC8)jOLm$bBd,2012,[Korean;Hindi;French;Looooooooooooooooong],2.8
dKsjnq2uEGM,1999,[French;Dutch;Swahili],5
cR1W%eVM#Xb^6,1993,[Polish;Turkish;Looooooooooooooooong;German;Czech],1.8
N8Co6QecIii(LU1NfmPMt)n4Adrglgr!DX!yochp8NC1QRu,1983,[Spanish;Chinese - T;Looooooooooooooooong],4.3
N,1923,[Looooooooooooooooong],8.8
Lf^U%ZyMy^r#KdVBSr^FEwnr9k4AyYuw1@,1984,[Spanish;Swahili;Czech;Korean],7.4
!crGnnFkkbLn8Ha4$R7OU2U7mSv*k3Vj2)glValpJJoF0,1932,[Turkish;French;Korean],6.7
h)11gwbvdWRc$#g(wFBosj6FT9qQSfFjbmojja,1968,[Turkish;French;Hindi;Chinese - S],5.6
aJ$LxS&^4TYSmWFeGi&01#QiFl15&rdS1!!$HupVT5x,2005,[French;Russian;Dutch],6.4
%3LCJws(QqRpv@hOKyTHJ8czqI3yZM&SroVTQXQk,1963,[Hindi;Welsh;German],9.8
tHVGYKWhCk^f2g3$1Z,1945,[Welsh;Hindi;Korean],3.9
zqmBd2qO!YZB6csTWKUzkJW6^GoHW@)hI859Dq&O3Y%xZ0A,1916,[Korean;French;Chinese - T;Polish;Chinese - S],1.8
(3Xnt@GBEeB4byfCa,1925,[French;German;Welsh;Russian],1.4
e%nT&ZIxfhjXsDq5FHFLsylo(FZFCj8IO3j,1901,[Looooooooooooooooong;French],10
YM!kKf&,1962,[Looooooooooooooooong;Dutch;Korean;Chinese - T],3.5
ryiyHM14Qd8@2vyW2z1uu&hCZH9at0!ApSBWbD,1949,[Arabic],10
pu53btFE^1YEp0dcmj#hY)o,1965,[Spanish;Welsh;Chinese - T;Russian;German],8
M69(agUVmvz8IF&3dRF,1924,[French;Hindi;Spanish],2.2
wWL3wXnUkJb@@0MH(5Jd&OcpUi@mYX1cYSK7T4Jc!bRWWsTE,1952,[Welsh],4.8
b6SLvZ#IqBlUu(XOgMZdD)lTzJ)(3oef16$,1970,[Arabic;Dutch;Swahili;Turkish],4.9
zE5xiT7n95dW3JQlNumu,1938,[Russian;Chinese - S;Dutch],8.8
mw%4LHud@yLRiwUQaFAVy1W5yVImG8DKJtFoC%kAT5P2H36@X%,1927,[Welsh],3
N%@A,1973,[Dutch;Hindi],3.4
EwB3Vh$4J5,1969,[Chinese - T;Turkish;Spanish;Korean;German],1.6
u0bp,1946,[Chinese - T;Japanese;Looooooooooooooooong],3.7
m,2016,[German;Swahili;French],6.3
(zkefXjJW@*dlX,1915,[French;Welsh;Polish;Spanish;Czech],9
2UuXppg@KI,1973,[Spanish],7.9
0io0fdS8zlR(UZVo1bTIOle)qJMc9nDDKE4yt08Myj24jWan5u,1954,[Chinese - S;Polish],1
RkNNt*)nH$S1@zNOIxYhDaTTJg5g(qpfVLdrP,2005,[Spanish;Czech;Swahili],7.1
YegQNX2ZZB&,2020,[Swahili],5.7
7U@kv)VF,1923,[Chinese - T;Korean],8.5
lj*0IepCULrm#^^lHqOTdRg8HY#jhZk7(,1936,[Looooooooooooooooong],7.5
uMl2#)QWSLJMEGyQSiv2JzN(vOa7cn*Kz9AxSsDcl,1933,[Looooooooooooooooong;Turkish;French;Arabic;Polish],8.2
4^TULEs#&DihZ7,1909,[Spanish;French;Welsh;Polish;English],6.3
#of@34WfJ%1ds7Gv2p,1999,[Spanish;Polish],6.4
CFNlD!iIu#dth3LhYG3y)p9NMaFggzkuqg,1908,[Welsh;German;Turkish;Polish],8.6
2a,1938,[Chinese - S;Dutch],8.2
6wKeZSbVGbehK2UCG1$7g6uM9%BFcqg8Vhwl&n$fXPZhyJW,2004,[Russian],10
DP(K5J7%wUhXMy,1944,[Polish;English;Spanish;Chinese - S;German],10
bDgF%^do(Y4qp(Z6Ho6c,1994,[Spanish;Korean;Russian;Turkish;Welsh],10
8N7CI7@uZ*9!AtU3v*q@XLATJTsLbKoLHm%tW5YN#ZURZ8H#*z,1998,[Russian;Spanish;Welsh],5.3
R%^suiPn34cTFt%q,1984,[Dutch],10
y)YOFIniS,1938,[Chinese - S;Polish;Dutch],6.2
krb%#La#srk,1919,[Spanish;Looooooooooooooooong;Welsh],10
smL$oep6RAzA6,1969,[Hindi;Korean;Russian;Welsh],10
ZtTWe(RZWUGxKnB,1967,[Russian;Hindi;Welsh;German;Korean],5.5
wMb669Q,1997,[Hindi;Turkish;Dutch;Spanish],1.3
2^T,1903,[Arabic;French;Czech],7.2
b5oRU#y#(#NyLuoj8)W*(GXuZiN#Qx,2008,[Arabic;Turkish;Japanese],5.9
el,1987,[German],4.8
8BZ9*JWxT0*GYAg36fpF^Yn9CklFw*F6%RC2bs,1948,[Hindi;Swahili;Looooooooooooooooong;Chinese - T;Czech],3.6
jNnpl*ItF2IR4ttRyDjdfLLGN31#K%es4Qrn5P$CE,1933,[Turkish;Czech;English;Russian],2.5
loo&W6%ahT9(vvWLkyDSztSctk34,1987,[Korean;English;Chinese - S],10
3o(v8zo)AagogLd7QZRZjmudp2diA!V9pr#7kKmHFDVvl,1988,[Chinese - S;Russian;Looooooooooooooooong;Swahili;Arabic],10
GUL1,1932,[Dutch;English;Arabic],1.7
4j!VdTv!vs22j9UPCuOB2NL(p61JR1z@,2011,[Looooooooooooooooong;Arabic;Chinese - S;German;Polish],1.6
pKgG)hTLOEpRm,1925,[Russian;Chinese - T],6.5
*Wrg8wX*8qw3DE5Fy%ogHidB8qE,2016,[Arabic],2
PD&Q^E#B7xdPqM73EVxoP(&G8Kz),1966,[French;Polish;Arabic],2.3
c@dJwJ#oShJ@Jm(gbiMKmF1RzN,1956,[English;Russian;Arabic;Turkish;Korean],2.2
m^0B,1949,[Swahili],6.8
%VnOZtztDP8fBQN,1949,[Turkish;French;Czech;Korean],7.3
ptG5b$^$yuoCkt4tkp6)zuFM%iCMzYDEH6G!SN8,1964,[German],4.7
K5nFYzC6nQPBd7isw8g$cRp@w&pzUJpRiDU5XW&17d(s,1916,[Arabic],4.4
EwmC$ukZr,1915,[Spanish;Dutch;Turkish;Hindi],7.1
9T!p#bcJbcu^6yyxwH1VZ4i,1932,[Japanese;German;Spanish;Looooooooooooooooong;Russian],4.9
S%XkbXa#(#Jg4RfeGG6&GgT)*iuGlPDkqxE5Oi*EmKw,1958,[Czech;Spanish],9.4
DvmK^uWu8SAYQc&7xEW!,1906,[Korean;Hindi;Russian;Spanish],5.2
tXpotQHEqkDtfO5kn)xAA*0B&eOeKyb#hoIos*,1912,[Czech;Russian;English],10
kyiJk4zTUJLEip!RthULLC1m!X,1928,[Spanish;Hindi],6.3
06jUo*Z0dGgtzlr,1903,[Dutch;Czech;English;Swahili],4.9
B11V%$6MXBUyBhSDHj1dxyA,1949,[Chinese - S],5.1
MfVov2IT%QMKUO4ZEZ,1959,[Chinese - S;Swahili],9.6
gKAK1q*P*d^zBdl78I8QN$i8EtEJIfUtP,1936,[Polish;Russian;German],6.2
SYDlhB*EFTBHSII)aA&k3n9$HlEk7w5X*NvVjNkk*zvl2$&e,1910,[Dutch;Welsh;Arabic;Swahili],3.6
49eTl)^jL*GApjA!n4uxQEYR%%khCIn!Sy$71EM3ZQuED,1951,[Hindi;Arabic;Polish;Looooooooooooooooong;German],10
q8Y(pJk3&iZ$7EGV!M$1!#MpkUq,1949,[German;Dutch;Turkish;Arabic;Looooooooooooooooong],3.1
g$%,2009,[Japanese;German],8.7
vCo2,2019,[Looooooooooooooooong;French],5.5
@H&gg#NaAA%#v5@t,1983,[Chinese - T;Japanese;Looooooooooooooooong],3
9XzUpAb(T,1974,[Looooooooooooooooong;Turkish;Chinese - T],9.1
J!uo@Qa9^Cm(fKKXidis,2009,[Looooooooooooooooong],9
S53K^@0UfUHf!aDnII(%eDu5uTFIoRsn5%3WLey#7zhrKAz1,1963,[Arabic;Chinese - S;Dutch],7.9
XJh8O(!RIKFG$Ao)NLb24B8!@s(MXmj911FIpvBKirAU29nc,1900,[Russian;Arabic;Czech;Chinese - S],6.5
a1dCTcgGPl%X^zkWfjJn(bBp3,1947,[Chinese - S;Turkish],4.4
a*R(Kz!)c28*N2()oDHEaP8psyXs@NJt7gLaJmADyI#XK3W6,1993,[Welsh],10
*3JXJyyrI%ohvmpqF$Roo8W931ltpo$wh@3,2016,[Russian;Looooooooooooooooong;Welsh;Chinese - T;French],8.5
RvFravvD$$7E&fIr#2wc&ogwLp#UY4hBq%tV95j14&xTOD,1902,[Welsh;Hindi;Korean],6.9
$UFK&&0dUM1XZIm7dq8G11^j@DGERcG$ur,2008,[Looooooooooooooooong;Japanese;Chinese - T],3.2
TLmdx5%5YqRTtwHiB*LpW7e&lfWoo(RrhfcTS,1900,[Spanish;Dutch;Turkish;English;Swahili],1.6
$0w7HA&ibMLVGgyYeYnX,1903,[German;Polish;Korean;Hindi;Looooooooooooooooong],10
ux3j4(e4iGtG4TC5RGe(fddE4glwBTtIo95,1952,[Swahili],4.9
uxCZMwN7g@Fa,1968,[Hindi],9
wcgSMCubU),1909,[Turkish;Dutch;Swahili;Welsh],8.2
*,1924,[German;Korean],1.8
CelUn,2004,[French],3.9
